recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
b60b8918-719d-474c-bc87-7b7478d24056,1,1777344062499287351,1777344062694409351,195.122
b60b8918-719d-474c-bc87-7b7478d24056,2,1777344063770390351,1777344063965636351,195.246
b60b8918-719d-474c-bc87-7b7478d24056,3,1777344065807354351,1777344065992481351,185.127
b60b8918-719d-474c-bc87-7b7478d24056,4,1777344069816038351,1777344070031162351,215.124
b60b8918-719d-474c-bc87-7b7478d24056,5,1777344073309221351,1777344073459343351,150.122
b60b8918-719d-474c-bc87-7b7478d24056,6,1777344077828515351,1777344078063636351,235.121
b60b8918-719d-474c-bc87-7b7478d24056,7,1777344079605109351,1777344079835354351,230.245
b60b8918-719d-474c-bc87-7b7478d24056,8,1777344080991459351,1777344081251704351,260.245
b60b8918-719d-474c-bc87-7b7478d24056,9,1777344085105260351,1777344085285382351,180.122
b60b8918-719d-474c-bc87-7b7478d24056,10,1777344093718232351,1777344093883353351,165.121
b60b8918-719d-474c-bc87-7b7478d24056,11,1777344095459825351,1777344095850193351,390.368
b60b8918-719d-474c-bc87-7b7478d24056,12,1777344096140438351,1777344096405683351,265.245
b60b8918-719d-474c-bc87-7b7478d24056,13,1777344097401665351,1777344097636911351,235.246
b60b8918-719d-474c-bc87-7b7478d24056,14,1777344099588626351,1777344099883996351,295.37
b60b8918-719d-474c-bc87-7b7478d24056,15,1777344102035968351,1777344102241089351,205.121
b60b8918-719d-474c-bc87-7b7478d24056,16,1777344104062796351,1777344104283042351,220.246
b60b8918-719d-474c-bc87-7b7478d24056,17,1777344105329023351,1777344105504145351,175.122
b60b8918-719d-474c-bc87-7b7478d24056,18,1777344107130741351,1777344107280870351,150.129
b60b8918-719d-474c-bc87-7b7478d24056,19,1777344110593933351,1777344110854174351,260.241
b60b8918-719d-474c-bc87-7b7478d24056,20,1777344111885155351,1777344112130276351,245.121
b60b8918-719d-474c-bc87-7b7478d24056,21,1777344112405525351,1777344112760889351,355.364
b60b8918-719d-474c-bc87-7b7478d24056,22,1777344112961136351,1777344113266389351,305.253
b60b8918-719d-474c-bc87-7b7478d24056,23,1777344116999813351,1777344117190059351,190.246
b60b8918-719d-474c-bc87-7b7478d24056,24,1777344120277878351,1777344120438001351,160.123
b60b8918-719d-474c-bc87-7b7478d24056,25,1777344120873493351,1777344121048615351,175.122
b60b8918-719d-474c-bc87-7b7478d24056,26,1777344125007293351,1777344125342542351,335.249
b60b8918-719d-474c-bc87-7b7478d24056,27,1777344128420481351,1777344128690726351,270.245
b60b8918-719d-474c-bc87-7b7478d24056,28,1777344132078801351,1777344132389165351,310.364
b60b8918-719d-474c-bc87-7b7478d24056,29,1777344132669404351,1777344132919650351,250.246
b60b8918-719d-474c-bc87-7b7478d24056,30,1777344136057593351,1777344136277714351,220.121
b60b8918-719d-474c-bc87-7b7478d24056,31,1777344138519806351,1777344138795043351,275.237
b60b8918-719d-474c-bc87-7b7478d24056,32,1777344141182250351,1777344141367497351,185.247
b60b8918-719d-474c-bc87-7b7478d24056,33,1777344143579586351,1777344143819702351,240.116
b60b8918-719d-474c-bc87-7b7478d24056,34,1777344145060929351,1777344145276050351,215.121
b60b8918-719d-474c-bc87-7b7478d24056,35,1777344146852522351,1777344147062768351,210.246
b60b8918-719d-474c-bc87-7b7478d24056,36,1777344148363994351,1777344148684238351,320.244
b60b8918-719d-474c-bc87-7b7478d24056,37,1777344152089097351,1777344152279342351,190.245
b60b8918-719d-474c-bc87-7b7478d24056,38,1777344158725340351,1777344159220840351,495.5
b60b8918-719d-474c-bc87-7b7478d24056,39,1777344159441090351,1777344159636215351,195.125
b60b8918-719d-474c-bc87-7b7478d24056,40,1777344160507097351,1777344160992596351,485.499
b60b8918-719d-474c-bc87-7b7478d24056,41,1777344161362839351,1777344161523100351,160.261
b60b8918-719d-474c-bc87-7b7478d24056,42,1777344162669095351,1777344162874341351,205.246
b60b8918-719d-474c-bc87-7b7478d24056,43,1777344165416713351,1777344165661963351,245.25
b60b8918-719d-474c-bc87-7b7478d24056,44,1777344166998212351,1777344167218462351,220.25
b60b8918-719d-474c-bc87-7b7478d24056,45,1777344169040086351,1777344169285336351,245.25
b60b8918-719d-474c-bc87-7b7478d24056,46,1777344170281340351,1777344170516587351,235.247
b60b8918-719d-474c-bc87-7b7478d24056,47,1777344172938835351,1777344173128960351,190.125
b60b8918-719d-474c-bc87-7b7478d24056,48,1777344174119959351,1777344174370209351,250.25
b60b8918-719d-474c-bc87-7b7478d24056,49,1777344175871586351,1777344176071835351,200.249
