recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
b60b8918-719d-474c-bc87-7b7478d24056,1777344062208917351,895.545,718.58185,4.9834695,-7.0359073,1.0,7,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062213917351,893.4541,719.54596,4.847078,-7.0991206,1.0,7,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062218917351,892.5741,717.0059,4.7885222,-6.9344244,1.0,7,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062223917351,887.6604,716.33997,4.466875,-6.892487,1.0,7,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062228923351,887.561,716.2332,4.460332,-6.8855815,1.0,7,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062233917351,887.78766,717.17865,4.475495,-6.9469304,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062238925351,890.11597,718.30664,4.6282177,-7.019576,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062244042351,889.62256,718.1147,4.59587,-7.007241,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062249042351,894.7753,719.5588,4.9335203,-7.099571,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062254043351,903.0285,750.75275,5.489464,-9.120638,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062259042351,920.31287,778.38934,6.6445785,-10.901951,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062264046351,896.1965,815.9735,5.0850277,-13.346865,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062269041351,901.4859,818.95056,5.437698,-13.53628,1.0,,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062274049351,906.69214,822.0803,5.7853475,-13.735298,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062279045351,904.11743,824.5776,5.617127,-13.89828,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062284041351,897.1823,823.93207,5.1569567,-13.860768,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062289057351,896.0208,823.7502,5.079823,-13.849676,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062294043351,893.60376,822.45056,4.9185762,-13.767031,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062299041351,892.8324,823.12744,4.868012,-13.811209,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062304041351,890.38306,821.1196,4.7041287,-13.682713,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062309041351,888.5072,819.7196,4.5788016,-13.593155,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062314041351,889.4015,819.3588,4.6377664,-13.569372,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062319041351,887.1555,815.9547,4.486546,-13.350348,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062324040351,886.96375,814.7245,4.4729815,-13.270872,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062329040351,889.60364,814.5923,4.6476088,-13.261017,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062334046351,883.57275,816.875,4.2499757,-13.411588,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062339040351,884.2442,816.9784,4.2945085,-13.41796,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062344040351,881.1947,807.61993,4.0866113,-12.813837,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062349040351,880.49585,809.7376,4.0417094,-12.951185,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062354040351,881.06287,808.0527,4.078162,-12.841903,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062359040351,879.0068,805.5161,3.9406774,-12.678586,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062364040351,879.03296,806.2664,3.9428563,-12.727141,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062369046351,880.5086,805.66034,4.040043,-12.687301,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062374169351,882.8659,804.332,4.1950336,-12.600312,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062379164351,882.5866,804.3583,4.1765924,-12.602136,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062384164351,880.08844,800.20264,4.009027,-12.334167,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062389164351,880.7993,801.6905,4.0568657,-12.430199,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062394179351,883.02734,799.32733,4.2026014,-12.27628,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062399164351,881.98535,798.4019,4.1332407,-12.216804,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062404164351,881.5209,796.3178,4.101344,-12.08205,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062409167351,877.4406,800.3978,3.8342426,-12.347861,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062414170351,877.10815,797.9351,3.8109243,-12.1885195,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062419164351,879.82367,796.6022,3.9894655,-12.101141,1.0,8,
b60b8918-719d-474c-bc87-7b7478d24056,1777344062424170351,880.839,793.4984,4.054714,-11.899739,1.0,8,
