recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525839388675,852.07086,637.79614,2.1298852,-1.7871394,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525844386675,852.60626,639.0811,2.1648488,-1.870816,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525849386675,850.44525,636.7299,2.02386,-1.7177378,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525854386675,846.6071,635.00116,1.773561,-1.6052378,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525859389675,846.8751,633.6057,1.7909985,-1.514328,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525864386675,846.03503,634.818,1.7362614,-1.5933192,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525869386675,846.7457,634.49725,1.7825836,-1.5724051,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525874386675,843.6941,632.89087,1.5835793,-1.467828,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525879385675,844.7237,635.9675,1.6507951,-1.6682327,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525884386675,845.7261,636.5301,1.7161669,-1.7048562,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525889385675,846.2317,640.5492,1.7492728,-1.9666504,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525894385675,843.5639,638.7411,1.57526,-1.8489457,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525899389675,843.1813,640.203,1.5503572,-1.944186,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525904385675,843.5575,643.1575,1.5749937,-2.1366334,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525909392675,848.4026,643.3405,1.8909446,-2.1483948,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525914385675,848.3956,644.59784,1.8905485,-2.2302957,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525919385675,847.5695,649.54834,1.8369178,-2.5527625,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525924385675,846.1607,649.12915,1.7450176,-2.525517,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525929393675,846.47815,651.04034,1.7658155,-2.6499834,1.0,,
08d815c7-b66b-4e0f-86eb-cdf22f889a32,1777344525934510675,847.15314,651.4602,1.8098634,-2.6772974,1.0,,
