time,description,position X,position Y,position Z,yawAngle,speedInKmPerHour,speedInMetresPerSecond,localAccelInMetresPerSecond2 X,localAccelInMetresPerSecond2 Y,bodyRotSpeedInRadsPerSecond Yaw,bodyRotAccelInRadsPerSecond Yaw,steering,appliedSteering,rawSteering,steeringVelocity,turningCurvature,throttle,appliedThrottle,rawThrottle,brake,appliedBrake,rawBrake,lightState,road,distanceAlongRoad,offsetFromLaneCenter,standardDeviationFromLaneCenter,distanceToFrontVehicle,TTCToFrontVehicle,laneNumber,laneWidth,laneDirection X,laneDirection Y,laneDirection Z,leftLaneOverLap,rightLaneOverLap
0.0,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0002907719928771,8.07699980214238e-05,0.0,0,0.0,0.0,0.0179420430213213,0.0,0.0179420430213213,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.01,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.016439155239925,0.0045664320110902,0.0,0,0.0,0.0,0.0179420430213213,1.64323835932598e-07,0.0179420430213213,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.02,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0509002842106843,0.0141389678363012,0.0,0,0.0,0.0,0.017941460806474,6.45357398961493e-06,0.017941460806474,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.03,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96037471927,3.14159265358979,0.0950389789254949,0.026399716368193,0.0,0,0.0,0.0,0.0179413892328739,2.11703591565602e-05,0.0179413892328739,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.00041378177,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3959231705892e-05,0,1,0.0,0.0
0.04,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96081847582,3.14159265358979,0.142863838164771,0.0396843994902143,0.0,0,0.0,0.0,0.0179408948128986,4.352267594628e-05,0.0179408948128986,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.000857538316,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39612383184118e-05,0,1,0.0,0.0
0.05,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96128928367,3.14159265358979,0.191244360369669,0.0531234334360191,0.0,0,0.0,0.0,0.0179407354444265,7.75985204517519e-05,0.0179407354444265,0.0012047150365297,2.3283064365387004e-10,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.001328346167,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39633662375664e-05,0,1,0.0,0.0
0.06,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96175761241,3.14159265229153,0.238903160861394,0.0663619891281649,-4.60134633540305e-05,0,-1.35918044007654e-07,0.0,0.0179407354444265,0.000118518913804,0.0179407354444265,0.0016721633728593,-0.0091768060246848,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.001796674908,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39654849831053e-05,0,1,0.0,0.0
0.07,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9625289462,3.14159265035564,0.285600993090322,0.0793336091917562,-6.77039954991564e-05,0,-2.00000002337219e-07,0.0,0.0179423820522218,0.0001679081470327,0.0179423820522218,0.0016721633728593,-0.0109928704164701,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.002568008695,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39689727795362e-05,0,1,0.0,0.0
0.08,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96347680248,3.14159264822522,0.331610045258452,0.092113901460681,-0.0001489799501708,0,-2.60024580950896e-07,0.0,0.0179421732970318,0.0002277156621212,0.0179421732970318,0.0016721633728593,-0.0166852766917623,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.003515864977,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39732576963478e-05,0,1,0.0,0.0
0.09,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96441692259,3.14159263998061,0.377360575365386,0.104822382045941,-0.0002412143866932,0,-1.11848148128098e-06,-5.62928721891257e-05,0.0179413892328739,0.0002943906815696,0.0179413892328739,0.0016721633728593,-0.0218250374764834,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.004455985094,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39775076407432e-05,0,1,0.0,0.0
0.1,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96537326092,3.14159262175636,0.423265575326754,0.117573770924098,-0.0002707855724999,0,-2.23908808290503e-06,-9.99999974737875e-05,0.0179403257429588,0.0003714833384629,0.0179403257429588,0.0041368349585343,-0.0197626098491658,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.005412323422,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39818318881197e-05,0,1,0.0,0.0
0.11,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96658567305,3.14159259346063,0.46963237253887,0.130453436816353,-0.00034150791287,0,-3.35005591831284e-06,-9.99999974737875e-05,0.0179394278675318,0.0004558897893661,0.0179394278675318,0.0062176897190511,-0.0198140160152986,0.0,0.0,0.0,0.0,0.0,0.0,,도로 1,500.006624735554,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.398731312413e-05,0,1,0.0,0.0
