recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733481840606,758.5852,473.16397,-3.704995,6.7974105,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733486957606,759.72174,454.48087,-3.637301,7.9987793,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733491957606,761.9751,460.38568,-3.489516,7.6197176,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733496957606,762.7969,458.5366,-3.4368896,7.7387676,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733501957606,763.60535,460.52374,-3.3839555,7.6111937,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733506957606,761.514,462.34766,-3.518763,7.493482,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733511957606,761.11566,464.08762,-3.5440142,7.3815284,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733516957606,760.73425,466.49713,-3.5679677,7.226531,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733521957606,760.14764,468.2273,-3.605404,7.1151648,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733526957606,759.8697,471.7641,-3.6223497,6.887692,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733531967606,759.54535,471.91516,-3.6432774,6.877911,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733536957606,763.0117,466.0114,-3.420777,7.258237,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733541957606,763.95123,473.63553,-3.3579326,6.768143,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733546957606,758.1686,470.0109,-3.732862,7.0000625,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733551957606,757.1401,466.42685,-3.8004947,7.230267,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733556961606,755.90955,464.28207,-3.8807902,7.367868,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733561957606,756.9171,466.39743,-3.8149269,7.2321115,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733566957606,761.3058,464.33432,-3.531638,7.36571,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733571957606,766.32367,455.26944,-3.2095058,7.949568,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733576957606,741.7577,481.3498,-4.7897587,6.2673607,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733581966606,717.2112,517.5941,-6.3609614,3.9325836,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733586957606,687.37244,535.75024,-8.276051,2.7611654,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733591957606,675.9379,554.39526,-9.006936,1.5637512,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733596957606,652.83344,577.88275,-10.488444,0.057762906,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733601957606,637.04474,580.1441,-11.501519,-0.08687317,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733606956606,635.64764,607.34357,-11.594744,-1.8251084,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733611964606,627.04144,609.173,-12.147347,-1.9404976,1.0,,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733616956606,628.4994,610.3815,-12.05417,-2.0179384,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733622089606,628.3817,612.5335,-12.0623665,-2.155348,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733627081606,628.2507,615.37024,-12.07169,-2.3364642,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733632090606,629.4844,614.4151,-11.99222,-2.2757301,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733637081606,635.33246,611.1834,-11.615999,-2.0704284,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733642081606,634.05505,614.58344,-11.699,-2.2874303,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733647082606,630.2425,618.8919,-11.945126,-2.5618193,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733652081606,630.2674,618.2979,-11.943309,-2.5238845,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733657081606,632.7801,618.45764,-11.782124,-2.5346625,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733662091606,634.61884,620.198,-11.664746,-2.6462815,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733667081606,632.3759,618.12067,-11.807941,-2.513045,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733672089606,630.83124,618.27484,-11.907123,-2.522539,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733677081606,630.44415,620.9891,-11.932968,-2.6958072,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733682082606,629.7716,629.613,-11.979789,-3.246375,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733687081606,634.5369,627.85657,-11.673086,-3.1355622,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733692081606,634.50104,629.8605,-11.676283,-3.2635734,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733697081606,634.262,628.04504,-11.690818,-3.1475217,1.0,1,
62f2b5ab-3ebc-4eca-9b65-e763c3a26ea1,1777343733702086606,634.3395,627.4493,-11.685586,-3.1094844,1.0,1,
