recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,2,1777340544812995540,1777340544958127540,145.132
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,3,1777340545198372540,1777340545393485540,195.113
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,4,1777340555883311540,1777340556013431540,130.12
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,5,1777340556358665540,1777340556563912540,205.247
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,6,1777340564416147540,1777340564601394540,185.247
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,7,1777340564786516540,1777340565001762540,215.246
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,8,1777340573529610540,1777340573674733540,145.123
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,9,1777340576427308540,1777340576632555540,205.247
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,10,1777340581396970540,1777340581572099540,175.129
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,11,1777340588913960540,1777340589099082540,185.122
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,12,1777340594934477540,1777340595109730540,175.253
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,13,1777340596155711540,1777340596330827540,175.116
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,14,1777340596956446540,1777340597136562540,180.116
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,15,1777340604588553540,1777340604763675540,175.122
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,16,1777340607050762540,1777340607246009540,195.247
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,17,1777340614642871540,1777340614827993540,185.122
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,18,1777340617055089540,1777340617220200540,165.111
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,19,1777340621664369540,1777340621829500540,165.131
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,20,1777340624892315540,1777340625072564540,180.249
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,21,1777340628440621540,1777340628605876540,165.255
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,22,1777340629308131540,1777340629498243540,190.112
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,23,1777340631440118540,1777340631645367540,205.249
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,24,1777340634317867540,1777340634467992540,150.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,25,1777340641399490540,1777340641589744540,190.254
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,26,1777340644036989540,1777340644197239540,160.25
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,27,1777340666152981540,1777340666313106540,160.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,28,1777340670807354540,1777340670952479540,145.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,29,1777340671192729540,1777340671422979540,230.25
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,30,1777340683349224540,1777340683524481540,175.257
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,31,1777340693298719540,1777340693453844540,155.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,32,1777340697867968540,1777340698028092540,160.124
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,33,1777340699439466540,1777340699624716540,185.25
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,34,1777340704544345540,1777340704714463540,170.118
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,35,1777340706636343540,1777340706816462540,180.119
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,36,1777340714108333540,1777340714258458540,150.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,37,1777340715339582540,1777340715554707540,215.125
69ce9a6f-ea86-4446-bc3e-5f4731f3e690,38,1777340716685838540,1777340716895956540,210.118
