recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
f5aeacca-71ae-456a-9053-683be52add2b,1,1777341076623611342,1777341076873728342,250.117
f5aeacca-71ae-456a-9053-683be52add2b,2,1777341078365218342,1777341078615341342,250.123
f5aeacca-71ae-456a-9053-683be52add2b,3,1777341079366094342,1777341079631337342,265.243
f5aeacca-71ae-456a-9053-683be52add2b,4,1777341081177824342,1777341081372948342,195.124
f5aeacca-71ae-456a-9053-683be52add2b,5,1777341085156422342,1777341085401671342,245.249
f5aeacca-71ae-456a-9053-683be52add2b,6,1777341087949029342,1777341088184278342,235.249
f5aeacca-71ae-456a-9053-683be52add2b,7,1777341091322132342,1777341091622505342,300.373
f5aeacca-71ae-456a-9053-683be52add2b,8,1777341092823623342,1777341093028746342,205.123
f5aeacca-71ae-456a-9053-683be52add2b,9,1777341094374992342,1777341094610236342,235.244
f5aeacca-71ae-456a-9053-683be52add2b,10,1777341096927347342,1777341097187595342,260.248
f5aeacca-71ae-456a-9053-683be52add2b,11,1777341100260451342,1777341100500699342,240.248
f5aeacca-71ae-456a-9053-683be52add2b,12,1777341101751941342,1777341102052203342,300.262
f5aeacca-71ae-456a-9053-683be52add2b,13,1777341103558555342,1777341103813803342,255.248
f5aeacca-71ae-456a-9053-683be52add2b,14,1777341105765666342,1777341106040914342,275.248
f5aeacca-71ae-456a-9053-683be52add2b,15,1777341108488149342,1777341108758398342,270.249
f5aeacca-71ae-456a-9053-683be52add2b,16,1777341110660136342,1777341110920384342,260.248
f5aeacca-71ae-456a-9053-683be52add2b,17,1777341112096506342,1777341112331750342,235.244
f5aeacca-71ae-456a-9053-683be52add2b,18,1777341115199358342,1777341115424606342,225.248
f5aeacca-71ae-456a-9053-683be52add2b,19,1777341118972834342,1777341119218089342,245.255
f5aeacca-71ae-456a-9053-683be52add2b,20,1777341120369201342,1777341120624449342,255.248
f5aeacca-71ae-456a-9053-683be52add2b,21,1777341121525199342,1777341121795442342,270.243
f5aeacca-71ae-456a-9053-683be52add2b,22,1777341122746436342,1777341123016685342,270.249
f5aeacca-71ae-456a-9053-683be52add2b,23,1777341124708182342,1777341124953423342,245.241
f5aeacca-71ae-456a-9053-683be52add2b,24,1777341127350658342,1777341127605907342,255.249
f5aeacca-71ae-456a-9053-683be52add2b,25,1777341132540501342,1777341132765625342,225.124
f5aeacca-71ae-456a-9053-683be52add2b,26,1777341135483233342,1777341135728482342,245.249
f5aeacca-71ae-456a-9053-683be52add2b,27,1777341137419971342,1777341137700220342,280.249
f5aeacca-71ae-456a-9053-683be52add2b,28,1777341139536970342,1777341139837214342,300.244
f5aeacca-71ae-456a-9053-683be52add2b,29,1777341141123449342,1777341141403697342,280.248
f5aeacca-71ae-456a-9053-683be52add2b,30,1777341148190031342,1777341148395154342,205.123
f5aeacca-71ae-456a-9053-683be52add2b,31,1777341149356150342,1777341149576272342,220.122
f5aeacca-71ae-456a-9053-683be52add2b,32,1777341150477141342,1777341150707390342,230.249
f5aeacca-71ae-456a-9053-683be52add2b,33,1777341151322886342,1777341151548134342,225.248
f5aeacca-71ae-456a-9053-683be52add2b,34,1777341152584128342,1777341152824376342,240.248
f5aeacca-71ae-456a-9053-683be52add2b,35,1777341154440867342,1777341154711115342,270.248
f5aeacca-71ae-456a-9053-683be52add2b,36,1777341156512729342,1777341156772977342,260.248
f5aeacca-71ae-456a-9053-683be52add2b,37,1777341157353473342,1777341157633722342,280.249
f5aeacca-71ae-456a-9053-683be52add2b,38,1777341160111095342,1777341160371334342,260.239
f5aeacca-71ae-456a-9053-683be52add2b,39,1777341161797695342,1777341162032819342,235.124
f5aeacca-71ae-456a-9053-683be52add2b,40,1777341164094806342,1777341164360054342,265.248
f5aeacca-71ae-456a-9053-683be52add2b,41,1777341167558636342,1777341167753766342,195.13
f5aeacca-71ae-456a-9053-683be52add2b,42,1777341169715636342,1777341169950891342,235.255
f5aeacca-71ae-456a-9053-683be52add2b,43,1777341171167011342,1777341171467262342,300.251
f5aeacca-71ae-456a-9053-683be52add2b,44,1777341172888636342,1777341173158887342,270.251
f5aeacca-71ae-456a-9053-683be52add2b,45,1777341174645262342,1777341174880512342,235.25
f5aeacca-71ae-456a-9053-683be52add2b,46,1777341179324637342,1777341179594887342,270.25
f5aeacca-71ae-456a-9053-683be52add2b,47,1777341181601763342,1777341181882013342,280.25
f5aeacca-71ae-456a-9053-683be52add2b,48,1777341182908013342,1777341183163138342,255.125
