recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
f5aeacca-71ae-456a-9053-683be52add2b,51,1777341098333725342,1777341098393712342,59.987,14.156242,3768.5989,7124.8545
f5aeacca-71ae-456a-9053-683be52add2b,52,1777341098929209342,1777341098974334342,45.125,13.406463,4678.807,6960.513
f5aeacca-71ae-456a-9053-683be52add2b,53,1777341099364706342,1777341099414706342,50.0,14.370018,4151.3184,7374.3193
f5aeacca-71ae-456a-9053-683be52add2b,54,1777341099940213342,1777341099990202342,49.989,14.380078,4496.923,7050.0483
f5aeacca-71ae-456a-9053-683be52add2b,55,1777341100280455342,1777341100405575342,125.12,0.9676103,1643.2007,3475.2173
f5aeacca-71ae-456a-9053-683be52add2b,56,1777341100685831342,1777341100710948342,25.117,2.1858075,1360.2568,1643.8928
f5aeacca-71ae-456a-9053-683be52add2b,57,1777341101331444342,1777341101366569342,35.125,2.6613526,1216.278,1539.1095
f5aeacca-71ae-456a-9053-683be52add2b,58,1777341101791941342,1777341101922065342,130.124,1.0625209,1827.6987,4439.8267
f5aeacca-71ae-456a-9053-683be52add2b,59,1777341102097200342,1777341102147189342,49.989,14.543681,4557.4287,7257.026
f5aeacca-71ae-456a-9053-683be52add2b,60,1777341102532561342,1777341102582686342,50.125,13.659452,4275.363,6685.4814
f5aeacca-71ae-456a-9053-683be52add2b,61,1777341103573555342,1777341103718679342,145.124,1.0884695,1718.8356,3179.0874
f5aeacca-71ae-456a-9053-683be52add2b,62,1777341104219180342,1777341104244176342,24.996,1.6561465,1025.5623,1160.3484
f5aeacca-71ae-456a-9053-683be52add2b,63,1777341104839797342,1777341104869797342,30.0,3.151035,1639.6412,2072.1155
f5aeacca-71ae-456a-9053-683be52add2b,64,1777341105550419342,1777341105585420342,35.001,5.964466,2672.1382,3546.866
f5aeacca-71ae-456a-9053-683be52add2b,65,1777341105800666342,1777341105915790342,115.124,0.66285485,1875.7137,3529.7178
f5aeacca-71ae-456a-9053-683be52add2b,66,1777341106446287342,1777341106466287342,20.0,1.4950551,1165.7013,1303.3531
f5aeacca-71ae-456a-9053-683be52add2b,67,1777341106891659342,1777341106931659342,40.0,7.7378926,3021.2356,4313.794
f5aeacca-71ae-456a-9053-683be52add2b,68,1777341107312032342,1777341107362031342,49.999,8.020818,2542.8943,4109.1196
f5aeacca-71ae-456a-9053-683be52add2b,69,1777341108528149342,1777341108668273342,140.124,0.33771586,1662.5164,3357.7354
f5aeacca-71ae-456a-9053-683be52add2b,70,1777341109699267342,1777341109749266342,49.999,13.098324,4142.923,6637.2573
f5aeacca-71ae-456a-9053-683be52add2b,71,1777341110269763342,1777341110319888342,50.125,14.802072,4665.4575,7217.1143
f5aeacca-71ae-456a-9053-683be52add2b,72,1777341110470012342,1777341110495012342,25.0,1.8216258,1135.9657,1273.4017
f5aeacca-71ae-456a-9053-683be52add2b,73,1777341110730260342,1777341110820268342,90.008,0.8031125,2184.6345,4859.5596
f5aeacca-71ae-456a-9053-683be52add2b,74,1777341111010508342,1777341111075513342,65.005,14.483149,3649.5432,7191.141
f5aeacca-71ae-456a-9053-683be52add2b,75,1777341111435881342,1777341111485881342,50.0,13.601214,4285.103,6767.5923
f5aeacca-71ae-456a-9053-683be52add2b,76,1777341112141502342,1777341112241626342,100.124,1.1984838,2056.3154,4809.5967
f5aeacca-71ae-456a-9053-683be52add2b,77,1777341113082371342,1777341113122496342,40.125,3.7742302,1461.0804,1989.064
f5aeacca-71ae-456a-9053-683be52add2b,78,1777341113397751342,1777341113432744342,34.993,5.3145633,2362.7615,3163.3987
f5aeacca-71ae-456a-9053-683be52add2b,79,1777341113828116342,1777341113878116342,50.0,13.7780485,4041.8262,6983.094
f5aeacca-71ae-456a-9053-683be52add2b,80,1777341115209359342,1777341115329492342,120.133,15.331469,2961.6418,6053.0693
f5aeacca-71ae-456a-9053-683be52add2b,81,1777341115454619342,1777341115479606342,24.987,1.5011095,947.8439,1105.8324
f5aeacca-71ae-456a-9053-683be52add2b,82,1777341116115227342,1777341116165227342,50.0,14.10059,4426.0938,7000.526
f5aeacca-71ae-456a-9053-683be52add2b,83,1777341117006096342,1777341117061096342,55.0,13.659446,3895.3037,6593.0547
f5aeacca-71ae-456a-9053-683be52add2b,84,1777341117816848342,1777341117876841342,59.993,13.88076,3456.5193,7435.4707
f5aeacca-71ae-456a-9053-683be52add2b,85,1777341118997842342,1777341119127958342,130.116,12.430835,2661.9036,5187.9673
f5aeacca-71ae-456a-9053-683be52add2b,86,1777341119253083342,1777341119278219342,25.136,1.4762931,960.6192,1158.4325
f5aeacca-71ae-456a-9053-683be52add2b,87,1777341119813704342,1777341119868704342,55.0,13.8066025,3958.6438,6722.163
f5aeacca-71ae-456a-9053-683be52add2b,88,1777341120369201342,1777341120559325342,190.124,13.378795,2490.4407,5612.2563
f5aeacca-71ae-456a-9053-683be52add2b,89,1777341120654449342,1777341120674449342,20.0,1.7773349,1366.0653,1918.6987
f5aeacca-71ae-456a-9053-683be52add2b,90,1777341121340070342,1777341121370074342,30.004,2.3347306,1218.5631,1492.9318
f5aeacca-71ae-456a-9053-683be52add2b,91,1777341121565326342,1777341121695443342,130.117,1.0380592,2078.0166,4969.3613
f5aeacca-71ae-456a-9053-683be52add2b,92,1777341121990697342,1777341122045701342,55.004,13.590883,3875.5063,6556.2363
f5aeacca-71ae-456a-9053-683be52add2b,93,1777341122260939342,1777341122300939342,40.0,3.7661588,1523.2883,2126.05
f5aeacca-71ae-456a-9053-683be52add2b,94,1777341122761436342,1777341122891560342,130.124,13.075899,2804.7927,5043.871
f5aeacca-71ae-456a-9053-683be52add2b,95,1777341123787305342,1777341123842433342,55.128,13.285366,3806.0847,6055.297
f5aeacca-71ae-456a-9053-683be52add2b,96,1777341124713174342,1777341124863299342,150.125,13.051334,2970.9841,6559.069
f5aeacca-71ae-456a-9053-683be52add2b,97,1777341126004428342,1777341126034416342,29.988,2.2812417,1204.6165,1467.2115
f5aeacca-71ae-456a-9053-683be52add2b,98,1777341127400658342,1777341127490782342,90.124,2.0993948,1783.914,3453.186
