recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
d9c1120c-05d9-4559-9b36-0867c9eb36ef,8,1777344271687727946,1777344271987975946,300.248,691.8446655273438,801.3516845703125,-8.136872,-14.262397
d9c1120c-05d9-4559-9b36-0867c9eb36ef,9,1777344272118099946,1777344272758720946,640.621,790.7484741210938,435.7935791015625,-1.6303797,9.205878
d9c1120c-05d9-4559-9b36-0867c9eb36ef,10,1777344272858844946,1777344273099093946,240.249,611.611328125,839.8563842773438,-13.489077,-16.615118
d9c1120c-05d9-4559-9b36-0867c9eb36ef,11,1777344273199100946,1777344273399341946,200.241,833.1353759765625,411.391845703125,1.1254717,10.775743
d9c1120c-05d9-4559-9b36-0867c9eb36ef,12,1777344273514470946,1777344273859713946,345.243,797.1968383789062,411.5818786621094,-1.214872,10.762684
d9c1120c-05d9-4559-9b36-0867c9eb36ef,13,1777344273939850946,1777344274149964946,210.114,875.6740112304688,645.9583129882812,3.8589883,-4.324684
d9c1120c-05d9-4559-9b36-0867c9eb36ef,14,1777344274225086946,1777344274400210946,175.124,919.957763671875,923.7293090820312,7.0455513,-22.105593
d9c1120c-05d9-4559-9b36-0867c9eb36ef,15,1777344274550334946,1777344274795583946,245.249,847.1302490234375,933.8831787109375,2.128355,-22.803951
d9c1120c-05d9-4559-9b36-0867c9eb36ef,16,1777344274900707946,1777344275261079946,360.372,793.3319702148438,445.37286376953125,-1.4613189,8.590287
d9c1120c-05d9-4559-9b36-0867c9eb36ef,17,1777344275306079946,1777344275701452946,395.373,794.341552734375,401.4292907714844,-1.4024905,11.414461
d9c1120c-05d9-4559-9b36-0867c9eb36ef,18,1777344275761576946,1777344275951700946,190.124,1002.1708374023438,476.94500732421875,12.040926,6.506834
d9c1120c-05d9-4559-9b36-0867c9eb36ef,19,1777344275981700946,1777344276762452946,780.752,941.6882934570312,492.5632019042969,8.126128,5.5343723
d9c1120c-05d9-4559-9b36-0867c9eb36ef,20,1777344276817451946,1777344278519068946,1701.617,745.8497314453125,439.18792724609375,-4.542417,8.977423
d9c1120c-05d9-4559-9b36-0867c9eb36ef,21,1777344278564184946,1777344278704310946,140.126,773.626220703125,392.8980712890625,-2.7561245,11.957939
d9c1120c-05d9-4559-9b36-0867c9eb36ef,22,1777344278774321946,1777344278974557946,200.236,964.4978637695312,483.1523132324219,9.604339,6.1288786
d9c1120c-05d9-4559-9b36-0867c9eb36ef,23,1777344279094556946,1777344279469929946,375.373,737.9815673828125,425.40081787109375,-5.0603094,9.859685
