recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
d9c1120c-05d9-4559-9b36-0867c9eb36ef,3,1777344271957975946,1777344272243223946,285.248
d9c1120c-05d9-4559-9b36-0867c9eb36ef,4,1777344272783720946,1777344273264217946,480.497
d9c1120c-05d9-4559-9b36-0867c9eb36ef,5,1777344273354341946,1777344273549465946,195.124
d9c1120c-05d9-4559-9b36-0867c9eb36ef,6,1777344278959432946,1777344279194680946,235.248
d9c1120c-05d9-4559-9b36-0867c9eb36ef,7,1777344280565922946,1777344280766171946,200.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,8,1777344284524648946,1777344284729897946,205.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,9,1777344286971883946,1777344287177141946,205.258
d9c1120c-05d9-4559-9b36-0867c9eb36ef,10,1777344290600362946,1777344290815485946,215.123
d9c1120c-05d9-4559-9b36-0867c9eb36ef,11,1777344295244584946,1777344295439833946,195.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,12,1777344295900205946,1777344296165467946,265.262
d9c1120c-05d9-4559-9b36-0867c9eb36ef,13,1777344300214179946,1777344300464430946,250.251
d9c1120c-05d9-4559-9b36-0867c9eb36ef,14,1777344303927657946,1777344304137906946,210.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,15,1777344304808533946,1777344305038652946,230.119
d9c1120c-05d9-4559-9b36-0867c9eb36ef,16,1777344308346756946,1777344308517005946,170.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,17,1777344309002378946,1777344309212626946,210.248
d9c1120c-05d9-4559-9b36-0867c9eb36ef,18,1777344309427750946,1777344309632999946,205.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,19,1777344311074367946,1777344311309489946,235.122
d9c1120c-05d9-4559-9b36-0867c9eb36ef,20,1777344311940111946,1777344312225361946,285.25
d9c1120c-05d9-4559-9b36-0867c9eb36ef,21,1777344317265089946,1777344317480328946,215.239
d9c1120c-05d9-4559-9b36-0867c9eb36ef,22,1777344319937563946,1777344320157812946,220.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,23,1777344320998562946,1777344321253806946,255.244
d9c1120c-05d9-4559-9b36-0867c9eb36ef,24,1777344324927159946,1777344325142408946,215.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,25,1777344327824892946,1777344328030016946,205.124
d9c1120c-05d9-4559-9b36-0867c9eb36ef,26,1777344329661631946,1777344329901755946,240.124
d9c1120c-05d9-4559-9b36-0867c9eb36ef,27,1777344334766351946,1777344334981490946,215.139
d9c1120c-05d9-4559-9b36-0867c9eb36ef,28,1777344337063463946,1777344337263591946,200.128
d9c1120c-05d9-4559-9b36-0867c9eb36ef,29,1777344341147189946,1777344341357438946,210.249
d9c1120c-05d9-4559-9b36-0867c9eb36ef,30,1777344343559554946,1777344343774674946,215.12
d9c1120c-05d9-4559-9b36-0867c9eb36ef,31,1777344344730553946,1777344344975792946,245.239
