time,description,position X,position Y,position Z,yawAngle,speedInKmPerHour,speedInMetresPerSecond,localAccelInMetresPerSecond2 X,localAccelInMetresPerSecond2 Y,bodyRotSpeedInRadsPerSecond Yaw,bodyRotAccelInRadsPerSecond Yaw,steering,appliedSteering,rawSteering,steeringVelocity,turningCurvature,throttle,appliedThrottle,rawThrottle,brake,appliedBrake,rawBrake,lightState,road,distanceAlongRoad,offsetFromLaneCenter,standardDeviationFromLaneCenter,distanceToFrontVehicle,TTCToFrontVehicle,laneNumber,laneWidth,laneDirection X,laneDirection Y,laneDirection Z,leftLaneOverLap,rightLaneOverLap
0.0,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0002907719928771,8.07699980214238e-05,0.0,0,0.0,0.0,-0.0015974408015608,0.0,-0.0015974408015608,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.693706274032593,0.0,0.693706274032593,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.01,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0192987522691329,0.0053607645192035,0.0,0,0.0,0.0,-0.0016024893779784,-1.12441319469667e-08,-0.0016024893779784,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.695692390178083,4.88085233058889e-06,0.695692390178083,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.02,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9599609375,3.14159265358979,0.0496241089020457,0.0137844746950127,0.0,0,0.0,0.0,-0.0016066615208096,-4.90527793642416e-07,-0.0016066615208096,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.696503520011902,0.0002123437015658,0.696503520011902,,도로 1,500.0,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.3957361918292e-05,0,1,0.0,0.0
0.03,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96011237794,3.14159265358979,0.0895084168801132,0.0248634491333648,0.0,0,0.0,0.0,-0.0016090457793325,-1.72079851120755e-06,-0.0016090457793325,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.696503520011902,0.0007448776274766,0.696503520011902,,도로 1,500.000151440442,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39580462438962e-05,0,1,0.0,0.0
0.04,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96057678921,3.14159265358979,0.132985659320892,0.03694046092247,0.0,0,0.0,0.0,-0.001609926967603,-4.0210015650814e-06,-0.001609926967603,0.0,2.3283064365387004e-10,0.0,0.0,0.0,0.696503520011902,0.0017391032199762,0.696503520011902,,도로 1,500.000615851714,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39601452901717e-05,0,1,0.0,0.0
0.05,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96105820042,3.14159265358979,0.176318660405418,0.0489774056681715,0.0,0,0.0,0.0,-0.0016124185640364,-7.03485586861337e-06,-0.0016124185640364,-4.14339733919554e-05,2.3283064365387004e-10,0.0,0.0,0.0,0.696503520011902,0.0030387902767894,0.696503520011902,,도로 1,500.001097262918,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39623220238651e-05,0,1,0.0,0.0
0.06,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96152691667,3.14159265358979,0.218281909542638,0.0606338637618438,0.0,0,0.0,0.0,-0.001612884466971,-1.06366106174261e-05,-0.001612884466971,-0.0001676169194979,2.3283064365387004e-10,0.0,0.0,0.0,0.697372578434599,0.0046004974298703,0.697372578434599,,도로 1,500.001565979168,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39644408016516e-05,0,1,0.0,0.0
0.07,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96208903268,3.14159265358979,0.258652504777999,0.0718479179938887,0.0,0,0.0,0.0,-0.0016146679408848,-1.51860503689886e-05,-0.0016146679408848,-0.0001676169194979,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0065901199215208,0.700699329376221,,도로 1,500.002128095177,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39669840889863e-05,0,1,0.0,0.0
0.08,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96306735483,3.14159265358979,0.297625138800014,0.0826736496666705,0.0,0,0.0,0.0,-0.0016146679408848,-2.06329169402462e-05,-0.0016146679408848,-0.0001676169194979,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0089538355030078,0.700699329376221,,도로 1,500.003106417334,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39714067310477e-05,0,1,0.0,0.0
0.09,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96405281219,3.14159265358979,0.335519080234714,0.0931997445096426,0.0,0,0.0,0.0,-0.0016146679408848,-2.67578625349245e-05,-0.0016146679408848,-0.0001676169194979,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0116118091302718,0.700699329376221,,도로 1,500.004091874693,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39758616287824e-05,0,1,0.0,0.0
0.1,[user's car] 차량 Coupe_LHD,4010.56176757813,5.5,2499.9650487912,3.14159265358979,0.372530129533887,0.103480591537191,0.0,0,0.0,0.0,-0.0016146679408848,-3.36878405988116e-05,-0.0016146679408848,-0.0001676169194979,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0146191336429402,0.700699329376221,,도로 1,500.005087853699,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39803644730138e-05,0,1,0.0,0.0
0.11,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96602037141,3.14159265358979,0.408758256158151,0.113543960043931,0.0,0,0.0,0.0,-0.0016143607196078,-4.11074040167163e-05,-0.0016143607196078,-0.0002613294881103,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0178428474359355,0.700699329376221,,도로 1,500.006059433909,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39847580742257e-05,0,1,0.0,0.0
0.12,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.9670249569,3.14159265358979,0.444225103785249,0.123395862162569,0.0,0,0.0,0.0,-0.0016128764630648,-4.90080847356512e-05,-0.0016128764630648,-0.0006250630831345,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0212917399188736,0.700699329376221,,도로 1,500.007064019404,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39892995849868e-05,0,1,0.0,0.0
0.13,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.96845409711,3.14159265358979,0.478832973699303,0.133009159360917,0.0,0,0.0,0.0,-0.0016112941084429,-5.82612822362942e-05,-0.0016112941084429,-0.0006250630831345,2.3283064365387004e-10,0.0,0.0,0.0,0.700699329376221,0.0253359337741231,0.700699329376221,,도로 1,500.008493159612,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.39957611003852e-05,0,1,0.0,0.0
0.14,[user's car] 차량 Coupe_LHD,4010.56176757813,5.5,2499.96989067327,3.14159265358979,0.512398288755865,0.14233285798774,0.0,0,0.0,0.0,-0.0016109582678696,-6.81067135858813e-05,-0.0016109582678696,-0.0006250630831345,2.3283064365387004e-10,0.0,0.0,0.0,0.700856014563207,0.0296319683648597,0.700856014563207,,도로 1,500.009929735772,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.40022562356617e-05,0,1,0.0,0.0
0.15,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.97131870607,3.14159265358979,0.544762021934594,0.15132278387072,0.0,0,0.0,0.0,-0.0016082964139059,-7.84465579476841e-05,-0.0016082964139059,-0.0006250630831345,2.3283064365387004e-10,0.0,0.0,0.0,0.70209789276123,0.0342456557387961,0.70209789276123,,도로 1,500.011357768569,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.40087127441643e-05,0,1,0.0,0.0
0.16,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.97285360583,3.14159265358979,0.575670070701073,0.15990835297252,0.0,0,0.0,0.0,-0.0016082964139059,-9.01430186596589e-05,-0.0016082964139059,-0.0006643411863777,2.3283064365387004e-10,0.0,0.0,0.0,0.70209789276123,0.0393517165877963,0.70209789276123,,도로 1,500.012892668326,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.40156523035197e-05,0,1,0.0,0.0
0.17,[user's car] 차량 Coupe_LHD,4010.56176757812,5.5,2499.97451080481,3.14159265358979,0.605133564475617,0.168092656798783,0.0,0,0.0,0.0,-0.0016082964139059,-9.98758505365516e-05,-0.0016082964139059,-0.0009941598381804,2.3283064365387004e-10,0.0,0.0,0.0,0.70209789276123,0.0436005616256172,0.70209789276123,,도로 1,500.014549867305,0.0,0.0,NAN,NAN,1,4.52452564239502,-2.40231439031403e-05,0,1,0.0,0.0
