recording id,timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg],worn,fixation id,blink id
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522093320448,689.46313,708.4831,-8.18814,-8.318316,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522098322448,691.5058,707.83057,-8.0554905,-8.277581,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522103325448,692.5399,712.93506,-7.9927073,-8.60517,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522108320448,702.3906,717.23566,-7.358381,-8.885919,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522113327448,701.5216,704.2756,-7.4049835,-8.054644,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522118445448,700.297,698.8241,-7.480368,-7.7045417,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522123445448,698.44293,702.9349,-7.603127,-7.9672446,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522128445448,700.6178,705.0269,-7.463976,-8.102393,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522133445448,704.22925,712.2669,-7.2355537,-8.568301,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522138445448,701.1684,708.0116,-7.4305215,-8.294007,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522143445448,704.21204,709.0416,-7.2343245,-8.361497,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522148445448,708.1936,709.76215,-6.9771404,-8.40956,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522153445448,695.1346,712.95966,-7.8247943,-8.608121,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522158444448,696.51904,710.97736,-7.733625,-8.481804,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522163444448,694.9673,713.8315,-7.8363233,-8.663897,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522168444448,690.9719,709.10156,-8.091042,-8.35873,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522173445448,698.538,705.1664,-7.5985985,-8.110344,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522178444448,696.6555,705.6944,-7.72075,-8.143279,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522183452448,712.68713,709.3689,-6.6860037,-8.386352,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522188444448,710.9422,706.41,-6.7969804,-8.195783,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522193444448,691.637,701.6757,-8.042233,-7.8832536,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522198444448,698.2503,701.7268,-7.614718,-7.889708,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522203444448,698.9464,712.76495,-7.57791,-8.5976095,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522208444448,699.4383,711.6354,-7.5452003,-8.525455,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522213453448,695.0063,711.24347,-7.8317266,-8.49808,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522218444448,702.1765,707.15045,-7.3646717,-8.239277,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522223447448,701.6769,706.57477,-7.396582,-8.202135,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522228444448,700.30835,708.51764,-7.4865427,-8.326035,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522233444448,702.4798,705.0541,-7.3435526,-8.105009,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522238456448,712.31165,716.50574,-6.7152095,-8.843954,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522243444448,715.34735,706.4094,-6.511902,-8.197634,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522248569448,712.3368,709.45374,-6.708741,-8.391645,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522253569448,714.8356,707.43,-6.545677,-8.262896,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522258569448,715.15875,707.5808,-6.524852,-8.272711,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522263569448,719.3151,706.0259,-6.2548685,-8.174657,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522268577448,716.7545,709.9493,-6.4230685,-8.425352,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522273572448,710.3284,710.02655,-6.839136,-8.42749,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522278569448,713.8553,698.4785,-6.6035357,-7.6881356,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522283574448,712.6064,702.78394,-6.6869664,-7.963877,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522288569448,711.4711,702.00745,-6.759913,-7.9135795,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522293569448,715.43024,700.363,-6.502811,-7.8096924,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522298575448,718.1523,699.81604,-6.3264284,-7.7756643,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522303569448,718.3837,702.1224,-6.312809,-7.9237704,1.0,1,
8425b25b-a8f9-4eed-b0dc-49ee4613066e,1777344522308569448,721.7411,703.86035,-6.0965858,-8.036626,1.0,1,
