recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,3,1777343380333694269,1777343380448805269,115.111,14.646949,3228.1646,6534.0786
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,4,1777343380593928269,1777343380659052269,65.124,21.752497,5373.6953,8762.252
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,5,1777343381064420269,1777343381239542269,175.122,34.684868,5196.292,9861.102
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,6,1777343381644911269,1777343381704910269,59.999,16.932987,4079.7588,7171.899
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,7,1777343382210401269,1777343382260526269,50.125,16.196705,4635.347,7735.503
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,8,1777343383086262269,1777343383146261269,59.999,15.281865,3944.253,6560.141
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,9,1777343383346516269,1777343383406507269,59.991,15.513618,4052.8237,7091.9487
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,10,1777343383641753269,1777343383676752269,34.999,5.7168174,2436.0015,3193.0942
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,11,1777343383906999269,1777343384007122269,100.123,20.997972,3911.9136,8072.1636
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,12,1777343384997981269,1777343385053115269,55.134,15.348401,4331.676,6958.799
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,13,1777343385753718269,1777343385813842269,60.124,16.72263,3822.2046,7749.618
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,14,1777343386013969269,1777343386043963269,29.994,2.158578,1128.7864,1459.2197
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,15,1777343386279216269,1777343386334208269,54.992,15.037253,3962.9414,7329.5234
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,16,1777343386824700269,1777343386854707269,30.007,2.405587,1303.9791,1505.9113
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,17,1777343387150070269,1777343387190069269,39.999,5.120227,1995.508,2822.8108
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,18,1777343387700567269,1777343387745560269,44.993,5.9178076,2146.821,3181.9329
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,19,1777343387965806269,1777343388015806269,50.0,1.9768975,1396.7529,1956.9852
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,20,1777343390693264269,1777343390753393269,60.129,15.300188,3920.8164,6278.1396
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,21,1777343391273877269,1777343391338888269,65.011,16.019915,3843.7202,7049.712
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,22,1777343392339859269,1777343392379858269,39.999,4.0052633,1557.2272,1975.0927
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,23,1777343392905349269,1777343393245719269,340.37,6.436244,2239.7341,5882.7754
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,24,1777343393550964269,1777343393611088269,60.124,14.782476,3811.2485,6811.6885
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,25,1777343394096454269,1777343394156578269,60.124,17.16439,4382.4565,7125.8677
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,26,1777343394661945269,1777343394676954269,15.009,1.0625937,954.7922,1140.9415
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,27,1777343394757073269,1777343394887191269,130.118,15.178188,2871.4946,6549.387
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,28,1777343395337684269,1777343395397683269,59.999,11.704321,3019.0168,5333.271
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,29,1777343395572808269,1777343395597811269,25.003,2.244108,1394.9702,1576.2368
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,30,1777343395697928269,1777343395758052269,60.124,14.879326,3445.2493,7726.1313
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,31,1777343395883174269,1777343395913174269,30.0,1.9953147,1034.4321,1276.25
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,32,1777343396033302269,1777343396053312269,20.01,0.8461883,939.54675,1127.8011
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,33,1777343396388666269,1777343396448668269,60.002,13.611674,2871.8203,5747.835
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,34,1777343396548788269,1777343396568788269,20.0,1.1522235,899.23816,1016.19714
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,35,1777343397329525269,1777343397384524269,54.999,17.038687,4321.3237,7425.298
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,36,1777343398110262269,1777343398190261269,79.999,13.066017,2704.025,5617.4004
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,37,1777343398320384269,1777343398350383269,29.999,2.037505,1185.0769,1456.2997
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,38,1777343398860878269,1777343398885881269,25.003,1.9051301,1210.2281,1417.318
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,39,1777343399166250269,1777343399381366269,215.116,5.7293234,2482.2903,5660.902
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,40,1777343399526488269,1777343399546488269,20.0,1.1632588,1019.6613,1309.8114
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,41,1777343400011980269,1777343400081979269,69.999,20.422604,4522.6704,7704.865
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,42,1777343400232226269,1777343400262226269,30.0,2.183091,1116.0226,1310.7601
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,43,1777343400492472269,1777343400672600269,180.128,18.017756,3011.658,8612.928
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,44,1777343401828700269,1777343401893699269,64.999,18.52221,4158.783,7388.503
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,45,1777343402284075269,1777343402344191269,60.116,16.340027,3779.786,8033.2617
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,46,1777343402549313269,1777343402594312269,44.999,3.628746,1565.1449,2064.8682
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,47,1777343402754559269,1777343402814558269,59.999,18.502779,4806.205,8410.808
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,48,1777343403275056269,1777343403325049269,49.993,13.506114,3686.7122,7198.9434
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,49,1777343403640308269,1777343403675419269,35.111,3.7956662,1698.0175,2251.7722
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,50,1777343404015664269,1777343404055787269,40.123,4.496341,1745.0542,2309.1028
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,51,1777343404391032269,1777343404431031269,39.999,7.83467,2386.6235,4549.095
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,52,1777343404626277269,1777343404646277269,20.0,1.4794954,1111.116,1316.4233
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,53,1777343404726401269,1777343404781400269,54.999,18.18245,4602.4272,8646.042
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,54,1777343405632136269,1777343405687266269,55.13,14.274302,3407.6672,7340.881
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,55,1777343406292751269,1777343406357873269,65.122,17.11135,3948.5986,7512.5474
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,56,1777343406913364269,1777343407048487269,135.123,17.17704,2667.9758,7318.5977
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,57,1777343407418855269,1777343407453855269,35.0,4.402026,1796.8815,2517.6191
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,58,1777343407994346269,1777343408029470269,35.124,4.7528815,2132.0642,2922.6113
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,59,1777343409365697269,1777343409430696269,64.999,19.605751,4792.9897,8899.197
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,60,1777343409565819269,1777343409580819269,15.0,0.8511848,915.2385,983.9726
