recording id,timestamp [ns]
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433801198764e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433801532183e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433801865603e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433802199032e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433802532452e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433802865882e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433803199304e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433803532733e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433803866153e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433804199583e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433804533002e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433804866422e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433805199852e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433805533274e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433805866703e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433806200123e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433806533553e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433806866972e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433807200402e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433807533821e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433807867244e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433808200673e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433808534093e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433808867523e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433809200942e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433809534372e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433809867794e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433810201224e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433810534643e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433810868073e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433811201492e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433811534912e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433811868342e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433812201764e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433812535194e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433812868613e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433813202043e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433813535462e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433813868892e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433814202312e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433814535734e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433814869164e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433815202583e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433815536013e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433815869432e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433816202862e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433816536282e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433816869714e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433817203133e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433817536553e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433817869983e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433818203402e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433818536832e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433818870252e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433819203684e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433819537103e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433819870533e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433820203953e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433820537372e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433820870802e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433821204221e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433821537654e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433821871073e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433822204503e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433822537923e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433822871352e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433823204772e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433823538194e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433823871624e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433824205043e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433824538473e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433824871892e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433825205322e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433825538742e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433825872172e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433826205594e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433826539013e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433826872443e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433827205862e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433827539292e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433827872712e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433828206141e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433828539564e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433828872993e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433829206413e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433829539843e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433829873262e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433830206682e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433830540114e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433830873533e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433831206963e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433831540383e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433831873812e+18
7b2ef3c7-166d-4072-933c-0fa27d5a9c8c,1.7773433832207232e+18
