recording id,timestamp [ns]
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407829106614e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407829439946e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407829773279e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.777340783010661e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407830439944e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407830773276e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407831106609e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407831231378e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407831368008e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407831701427e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407832034847e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407832368276e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407832701696e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407833035128e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407833368548e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407833701978e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407834035397e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407834368827e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407834702246e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407835035676e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407835369098e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407835702518e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407836035948e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407836369367e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407836702797e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407837036216e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407837369646e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407837703068e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407838036498e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407838369917e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407838703337e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407839036767e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407839370186e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407839703616e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407840037038e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407840370468e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407840703887e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407841037317e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407841370737e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407841704156e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407842037586e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407842371008e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407842704438e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407843037857e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407843371287e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407843704707e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407844038136e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407844371558e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407844704978e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407845038408e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407845371827e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407845705257e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407846038676e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407846372106e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407846705528e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407847038958e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407847372378e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407847705797e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407848039227e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407848372646e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407848706076e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407849039498e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407849372928e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407849706348e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407850039777e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407850373197e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407850706616e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407851040046e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407851373468e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407851706898e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407852040317e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407852373747e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407852707167e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407853040596e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407853374016e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407853707438e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407854040868e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407854374287e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407854707717e+18
2ca60e8e-201b-49a1-b377-8c58744591b1,1.7773407855041137e+18
