recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
2ca60e8e-201b-49a1-b377-8c58744591b1,1,1777340836048945716,1777340836199067716,150.122
2ca60e8e-201b-49a1-b377-8c58744591b1,2,1777340844591792716,1777340844762039716,170.247
2ca60e8e-201b-49a1-b377-8c58744591b1,3,1777340874195903716,1777340874361160716,165.257
2ca60e8e-201b-49a1-b377-8c58744591b1,4,1777340884796021716,1777340885026271716,230.25
2ca60e8e-201b-49a1-b377-8c58744591b1,5,1777340905260391716,1777340905470516716,210.125
