recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
c6b1ee29-0c20-4451-be66-97c2642c3139,3,1777344290621145073,1777344290851391073,230.246
c6b1ee29-0c20-4451-be66-97c2642c3139,4,1777344292312740073,1777344292502862073,190.122
c6b1ee29-0c20-4451-be66-97c2642c3139,5,1777344295330437073,1777344295485684073,155.247
c6b1ee29-0c20-4451-be66-97c2642c3139,6,1777344299284117073,1777344299464375073,180.258
c6b1ee29-0c20-4451-be66-97c2642c3139,7,1777344304373902073,1777344304569033073,195.131
c6b1ee29-0c20-4451-be66-97c2642c3139,8,1777344309608810073,1777344309803940073,195.13
c6b1ee29-0c20-4451-be66-97c2642c3139,9,1777344312906876073,1777344313041999073,135.123
c6b1ee29-0c20-4451-be66-97c2642c3139,10,1777344315379083073,1777344315699452073,320.369
c6b1ee29-0c20-4451-be66-97c2642c3139,11,1777344320538866073,1777344320829236073,290.37
c6b1ee29-0c20-4451-be66-97c2642c3139,12,1777344329282085073,1777344329477206073,195.121
c6b1ee29-0c20-4451-be66-97c2642c3139,13,1777344332239782073,1777344332670149073,430.367
c6b1ee29-0c20-4451-be66-97c2642c3139,14,1777344334797111073,1777344334952358073,155.247
c6b1ee29-0c20-4451-be66-97c2642c3139,15,1777344341142997073,1777344341448367073,305.37
c6b1ee29-0c20-4451-be66-97c2642c3139,16,1777344344115823073,1777344344511187073,395.364
c6b1ee29-0c20-4451-be66-97c2642c3139,17,1777344352088176073,1777344352418548073,330.372
c6b1ee29-0c20-4451-be66-97c2642c3139,18,1777344354300260073,1777344354460382073,160.122
c6b1ee29-0c20-4451-be66-97c2642c3139,19,1777344358989676073,1777344359294920073,305.244
c6b1ee29-0c20-4451-be66-97c2642c3139,20,1777344363188483073,1777344363518848073,330.365
c6b1ee29-0c20-4451-be66-97c2642c3139,21,1777344368773749073,1777344368968870073,195.121
c6b1ee29-0c20-4451-be66-97c2642c3139,22,1777344374153651073,1777344374515633073,361.982
c6b1ee29-0c20-4451-be66-97c2642c3139,23,1777344377653632073,1777344377888882073,235.25
c6b1ee29-0c20-4451-be66-97c2642c3139,24,1777344383614255073,1777344383954635073,340.38
c6b1ee29-0c20-4451-be66-97c2642c3139,25,1777344388043509073,1777344388183628073,140.119
c6b1ee29-0c20-4451-be66-97c2642c3139,26,1777344392207376073,1777344392387632073,180.256
c6b1ee29-0c20-4451-be66-97c2642c3139,27,1777344397877752073,1777344398072998073,195.246
c6b1ee29-0c20-4451-be66-97c2642c3139,28,1777344402327007073,1777344402532121073,205.114
c6b1ee29-0c20-4451-be66-97c2642c3139,29,1777344405960375073,1777344406170619073,210.244
c6b1ee29-0c20-4451-be66-97c2642c3139,30,1777344407977370073,1777344408147493073,170.123
c6b1ee29-0c20-4451-be66-97c2642c3139,31,1777344411996116073,1777344412146241073,150.125
c6b1ee29-0c20-4451-be66-97c2642c3139,32,1777344414198245073,1777344414483496073,285.251
c6b1ee29-0c20-4451-be66-97c2642c3139,33,1777344418547363073,1777344418767487073,220.124
c6b1ee29-0c20-4451-be66-97c2642c3139,34,1777344420534251073,1777344420744361073,210.11
c6b1ee29-0c20-4451-be66-97c2642c3139,35,1777344424733234073,1777344424908359073,175.125
c6b1ee29-0c20-4451-be66-97c2642c3139,36,1777344427956232073,1777344428301609073,345.377
c6b1ee29-0c20-4451-be66-97c2642c3139,37,1777344431114230073,1777344431384480073,270.25
c6b1ee29-0c20-4451-be66-97c2642c3139,38,1777344432925979073,1777344433071111073,145.132
c6b1ee29-0c20-4451-be66-97c2642c3139,39,1777344433081105073,1777344433186234073,105.129
c6b1ee29-0c20-4451-be66-97c2642c3139,40,1777344435243103073,1777344435373228073,130.125
c6b1ee29-0c20-4451-be66-97c2642c3139,41,1777344436389227073,1777344436584352073,195.125
c6b1ee29-0c20-4451-be66-97c2642c3139,42,1777344437960740073,1777344438316101073,355.361
c6b1ee29-0c20-4451-be66-97c2642c3139,43,1777344441544099073,1777344441719224073,175.125
c6b1ee29-0c20-4451-be66-97c2642c3139,44,1777344444642097073,1777344444842222073,200.125
c6b1ee29-0c20-4451-be66-97c2642c3139,45,1777344447504720073,1777344447704974073,200.254
c6b1ee29-0c20-4451-be66-97c2642c3139,46,1777344449876969073,1777344450097219073,220.25
c6b1ee29-0c20-4451-be66-97c2642c3139,47,1777344454731591073,1777344454921716073,190.125
c6b1ee29-0c20-4451-be66-97c2642c3139,48,1777344457319096073,1777344457644344073,325.248
c6b1ee29-0c20-4451-be66-97c2642c3139,49,1777344457679339073,1777344457864589073,185.25
c6b1ee29-0c20-4451-be66-97c2642c3139,50,1777344459456088073,1777344459671212073,215.124
c6b1ee29-0c20-4451-be66-97c2642c3139,51,1777344460652222073,1777344460817337073,165.115
c6b1ee29-0c20-4451-be66-97c2642c3139,52,1777344463269710073,1777344463444835073,175.125
c6b1ee29-0c20-4451-be66-97c2642c3139,53,1777344464786190073,1777344464971440073,185.25
c6b1ee29-0c20-4451-be66-97c2642c3139,54,1777344466748064073,1777344466998314073,250.25
